,Title,authors,id
0,A fresh look on the morphology of Azaniadendron Rayner: a ligulate lycopsid from the Permian of Gondwana br,Uhl  Dieter,WOS:000877800600001
1,Strategic interactions and arenas: A sociological perspective on strategy,Jasper  James M.,WOS:000883704900001
2,Concurrent anthropogenic air pollutants enhance recruitment of a specialist parasitoid,Girling  Robbie D.,WOS:000884382400006
3,International principles and standards for the ecological restoration and recovery of mine sites,Dixon  Kingsley,WOS:000880435600001
4,How Social Movements (Sometimes) Matter,Dixon  Kingsley,WOS:000875842400026
5,Identifying Child Anxiety Through Schools-identification to intervention (iCATS-i2i): protocol for a cluster randomised controlled trial to compare screening  feedback and intervention for child anxiety problems to usual school practice,Creswell  Cathy,WOS:000871193100017
6,Can third-body stabilisation of bimolecular collision complexes in cold molecular clouds happen?,Galvao  Breno R. L.,WOS:000869557900001
7,The master equation: general discussion,Zhang  Rui Ming,WOS:000866010900001
8,The Sacramental Vision of Edward Bouverie Pusey,Zhang  Rui Ming,WOS:000866043800001
9,Inefficient intramolecular vibrational energy redistribution for the H + HO2 reaction and negative internal energy dependence for its rate constant,Sivaramakrishnan  Raghu,WOS:000874158800001
10,Collisional energy transfer: general discussion,Zador  Judit,WOS:000864122100001
11,3-Dimensional Exoscope for Far Lateral Approach to Pontomedullary Cavernous Malformation,Eskandari  Ramin,WOS:000874760400002
12,Life cycle assessment (LCA) of a battery home storage system based on primary data,Weil  Marcel,WOS:000828185600003
13,Influence of open cast mining on radiological health risk of agricultural soils around Adudu lead-zinc mine  Nasarawa State  Nigeria,Orunsami  Samson Tomi,WOS:000857406500001
14,Mucosal Melanoma In Situ of the Oral Cavity: A Case Report and Systematic Review of the Literature,Day  Terry A.,WOS:000886179900008
15,Low- and intermediate-temperature oxidation of dimethyl ether up to 100 atm in a supercritical pressure jet-stirred reactor,Ju  Yiguang,WOS:000874184600009
16,Haemodynamic stroke in a rare adult presentation of osteopetrosis,Lionel  Sharon Anbumalar,WOS:000863480100010
17,Dysregulated Neutrophil Phenotype and Function in Hospitalised Non-ICU COVID-19 Pneumonia,Scott  Aaron,WOS:000857674900001
18,Vasculogeriatrics: embracing shared care with our colleagues in geriatric medicine should not be a threat,Chan  Kien,WOS:000853005100008
19,Formation of phosphorus monoxide through the P(S-4) + O-2((3)Sigma(-)) -> O(P-3) + PO((2)Pi) reaction,Galvao  Breno R. L.,WOS:000842541600002
20,Differences in moral judgment predict behavior in a Covid triage game scenario,Gugle  Brelaina,WOS:000821656500006
21,Comparison of Low-Dose Promethazine and Dexamethasone against Ondansetron Monotherapy Given as Antiemetic Prophylaxis during Myomectomy Under Spinal Anesthesia: A Randomized Clinical Trial,Edomwonyi  Philomina Nosa,WOS:000861322700001
22,A reaction mechanism for ozone dissociation and reaction with hydrogen at elevated temperature,Glarborg  Peter,WOS:000807374400005
23,Bede and the beginnings of English racism,Glarborg  Peter,WOS:000842547500001
24,Identifying Child Anxiety Through Schools-identification to intervention (iCATS-i2i): protocol for single-arm feasibility trial,Creswell  Cathy,WOS:000838630300002
25,On the relation between decision quality and autonomy in times of patient-centered care: a case study,Creswell  Cathy,WOS:000837929000001
26,A novel ROA optimized Bi-LSTM based MPPT controller for grid connected hybrid solar-wind system,Jasper  J.,WOS:000835852000001
27,Impact of Grade on Survival in Pleomorphic Xanthoastrocytoma and Low Prevalence of BRAF V600E Mutation,Chacko  Geeta,WOS:000863280500028
28,The Power Dynamics and Stakeholder Effects in the Legislative Process of Philanthropy Lawmaking in China,Jasper  Cynthia R.,WOS:000844445700001
29,The incidence of cervical cancer in women with postcoital bleeding and abnormal appearance of the cervix referred through the 2-week wait pathway in the United Kingdom: A retrospective cohort study,Haldar  Krishnayan,WOS:000833426200001
30,SNAPSHOT USA 2020: A second coordinated national camera trap survey of the United States during the COVID-19 pandemic,McShea  William J.,WOS:000830409400001
31,Supporting Rehabilitation of Rural Patients Receiving Total Knee Arthroplasty Through Physical Activity: Perceptions of Stakeholder Groups,Jones  C. Allyson,WOS:000828508500001
32,Current Studies and Evidence in Cholangiocarcinoma,Marquardt  Jens U.,WOS:000828306900002
33,A Systematic Review of Crohn's Disease Case Definitions in Administrative or Claims Databases,Brant  Steven R.,WOS:000827770200001
34,Latent class analysis to characterize neonatal risk for neurodevelopmental differences,Ryckman  Kelli K.,WOS:000825270400001
35,Eye signs in a child with ROBO3 gene mutation,Selvin  Satheesh Solomon T.,WOS:000860471400092
36,Iris Murdoch and the Others: A Writer in Dialogue with Theology,Selvin  Satheesh Solomon T.,WOS:000826984900019
37,Herbage Mass  N Concentration  and N Uptake of Temperate Grasslands Can Adequately Be Estimated from UAV-Based Image Data Using Machine Learning,Bareth  Georg,WOS:000825670200001
38,Women and Gender in the Bible: Texts  Intersections  Intertexts,Bareth  Georg,WOS:000819533400001
39,Exploring the perspectives of clinicians on solutions to tackling physical inactivity and sedentary behaviour in older hospital patients,Jadczak  Agathe Daria,WOS:000818993800001
40,Genome-wide SNPs of vegetable leafminer  Liriomyza sativae: Insights into the recent Australian invasion,Hoffmann  Ary A.,WOS:000817082400001
41,Monoanionic C boolean AND N boolean AND N Luminophores and Monodentate C-Donor Co-Ligands for Phosphorescent Pt(II) Complexes: A Case Study Involving Their Photophysics and Cytotoxicity,Strassert  Cristian A.,WOS:000814188000001
42,Designing chemistry classes for groups with diverse learners - an exemplary lesson for the ChemDive planning model,Melle  Insa,WOS:000811266600026
